id,header_id,heading,spine_node,this_study,alignment_tester,notes
CH3-SP-062,CH3-H-023,Ten control rules,Themes_ChIV,"Patterned-meaning claims, not topic headings, named in Chapter IV.",Data Analysis,"Govern coding, memoing, and write-up. A violation is a dependability incident logged the same day."
CH3-SP-063,CH3-H-023,Ten control rules,Findings_ChIV,Chapter IV reports. Not claimed in Chapter III.,Data Analysis,"Govern coding, memoing, and write-up. A violation is a dependability incident logged the same day."
CH3-SP-064,CH3-H-023,Ten control rules,Conclusions_ChV,Chapter V interprets. Not claimed in Chapter III.,Data Analysis,"Govern coding, memoing, and write-up. A violation is a dependability incident logged the same day."
CH3-SP-065,CH3-H-024,Chapter III versus Chapter IV versus Chapter V,Themes_ChIV,"Patterned-meaning claims, not topic headings, named in Chapter IV.",Data Analysis,"Keep the chapter split: III plans, IV reports, V interprets."
CH3-SP-066,CH3-H-024,Chapter III versus Chapter IV versus Chapter V,Findings_ChIV,Chapter IV reports. Not claimed in Chapter III.,Data Analysis,"Keep the chapter split: III plans, IV reports, V interprets."
CH3-SP-067,CH3-H-024,Chapter III versus Chapter IV versus Chapter V,Conclusions_ChV,Chapter V interprets. Not claimed in Chapter III.,Data Analysis,"Keep the chapter split: III plans, IV reports, V interprets."
CH3-SP-068,CH3-H-025,Optional: committee-required second coder and ICR,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Dependability,Keep ICR optional and off by default for this single-researcher dissertation.
CH3-SP-069,CH3-H-026,Trustworthiness,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Dependability,"Use credibility, dependability, confirmability, and transferability (Lincoln & Guba, 1985)."
CH3-SP-070,CH3-H-026,Trustworthiness,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Dependability,"Use credibility, dependability, confirmability, and transferability (Lincoln & Guba, 1985)."
CH3-SP-071,CH3-H-026,Trustworthiness,Findings_ChIV,Chapter IV reports. Not claimed in Chapter III.,Dependability,"Use credibility, dependability, confirmability, and transferability (Lincoln & Guba, 1985)."
CH3-SP-072,CH3-H-027,Ethical Protections,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Procedures,Submit to Capella IRB before recruitment; treat organizational risk as a Gap-data threat.
CH3-SP-073,CH3-H-028,Chapter Summary,Problem,SME IT/network managers must handle competing restoration claims on external platforms without a clear account of how authority and proof are enacted under time pressure.,Methodology,Restate the planned chain without converting it into findings.
CH3-SP-074,CH3-H-028,Chapter Summary,Purpose,"Describe how those managers account for stakeholder-claim management and salience shifts in one named ITDRPaaS recovery or test event, and how those shifts are enacted as decision rights, escalation, and defensible proof.",Methodology,Restate the planned chain without converting it into findings.
CH3-SP-075,CH3-H-028,Chapter Summary,Questions,"Implied PQ1 (claim attention / salience shifts) and PQ2 (enactment as rights, escalation, proof). Official RQ wording will replace these labels when locked.",Methodology,Restate the planned chain without converting it into findings.
CH3-SP-076,CH3-H-028,Chapter Summary,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Methodology,Restate the planned chain without converting it into findings.
CH3-SP-077,CH3-H-028,Chapter Summary,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Methodology,Restate the planned chain without converting it into findings.
CH3-SP-078,CH3-H-028,Chapter Summary,Themes_ChIV,"Patterned-meaning claims, not topic headings, named in Chapter IV.",Methodology,Restate the planned chain without converting it into findings.
CH3-SP-079,CH3-H-028,Chapter Summary,Conclusions_ChV,Chapter V interprets. Not claimed in Chapter III.,Methodology,Restate the planned chain without converting it into findings.
CH3-SP-080,CH3-H-029,References,Framework,"Mitchell et al. (1997) power, legitimacy, urgency as sensitizing attributes; leverage as the enacted combination; PQ2 constructs as enactment probes.",What We Know,Keep seminal vs build-on vs software vs new-instrument vs audit-artifact classes intact.
