id,header_id,heading,purpose,do,do_not,spine_check,tester_check,companion_links,howto_link
CH3-HT-020,CH3-H-020,Analytic steps (adapted hybrid codebook TA),"Follow the written hybrid steps: lock meaning units, apply template codes, add EMERGENT after lock, group, then name themes in Chapter IV.",Require a named excerpt and a boundary/negative case before promoting a unit.,Do not name themes in Chapter III. Frequency is not importance.,Codes; Categories; Themes_ChIV,Tester checks Practice 2 lock-before-name is still the reduction rule.,docs/collection-analysis-revision-packet.md | workspace-app/analysis-templates.html,_CHPT III_Assension_db/pages/H-020-analytic-steps-adapted-hybrid-codebook-ta.md
CH3-HT-021,CH3-H-021,Delve nested start-list (import; do not treat as themes),Import the nested start-list as filing and sensitizing devices.,Keep STRUCTURAL / FRAMEWORK_DEDUCTIVE / BOUNDARY names identical to docs/notion/templates/codebook.csv.,Do not treat imported codes as Chapter IV headings.,Codes,Tester checks Constructs inform Measures; they do not pre-write Data Analysis themes.,docs/notion/templates/codebook.csv | docs/notion/templates/construct-index.csv,_CHPT III_Assension_db/pages/H-021-delve-nested-start-list-import-do-not-treat-as-themes.md
CH3-HT-022,CH3-H-022,Planned-analysis matrix,"Map every question ID to PQ, structural code, and planned framework/boundary codes.",Leave Category / Theme / Finding columns empty. Official RQ labels replace PQ1/PQ2 in Maps-to without changing question IDs.,Do not require every ID to be asked aloud; skipped rows still map.,Instrument questions; Codes; Questions; Themes_ChIV; Findings_ChIV,Questions tester stays Partial until official RQ wording is locked.,docs/chapter-iii-methodology.md#planned-analysis-matrix | docs/notion/templates/interview-items.csv,_CHPT III_Assension_db/pages/H-022-planned-analysis-matrix.md
CH3-HT-023,CH3-H-023,Ten control rules,"Govern coding, memoing, and write-up. A violation is a dependability incident logged the same day.","Method first, software second. Codes are not themes. Themes are claims. Do not write that themes emerged.",Do not treat leverage as a fourth salience attribute or NIST/ISO/BCM as a coding system.,Codes; Themes_ChIV; Findings_ChIV; Conclusions_ChV,Tester checks Dependability* has enforceable write-up rules.,docs/chapter-iii-methodology.md#ten-control-rules,_CHPT III_Assension_db/pages/H-023-ten-control-rules.md
CH3-HT-024,CH3-H-024,Chapter III versus Chapter IV versus Chapter V,"Keep the chapter split: III plans, IV reports, V interprets.",Do not offer implications in III or IV. Do not newly name themes in V.,Do not treat Delve or the CSV nest as a contribution.,Themes_ChIV; Findings_ChIV; Conclusions_ChV,Tester checks the spine end-nodes stay empty in this chapter.,docs/chapter-iii-methodology.md#chapter-iii-versus-chapter-iv-versus-chapter-v,_CHPT III_Assension_db/pages/H-024-chapter-iii-versus-chapter-iv-versus-chapter-v.md
CH3-HT-025,CH3-H-025,Optional: committee-required second coder and ICR,Keep ICR optional and off by default for this single-researcher dissertation.,Activate only if the committee requires a second coder. Do not mix ICR with reflexive TA.,Do not make kappa a default quality claim.,Codes,Tester checks Dependability does not require multiple coders as a GQI condition.,docs/chapter-iii-methodology.md#optional-committee-required-second-coder-and-icr,_CHPT III_Assension_db/pages/H-025-optional-committee-required-second-coder-and-icr.md
CH3-HT-026,CH3-H-026,Trustworthiness,"Use credibility, dependability, confirmability, and transferability (Lincoln & Guba, 1985).","Keep member check factual-only. Treat saturation as a decision guide, not a badge that n = 10–15 earns.",Do not claim 10–15 U.S. SME managers represent all ITDRPaaS settings.,Collection; Codes; Findings_ChIV,Tester checks Dependability* for a visible audit trail and threat mitigations.,docs/chapter-iii-methodology.md#trustworthiness,_CHPT III_Assension_db/pages/H-026-trustworthiness.md
CH3-HT-027,CH3-H-027,Ethical Protections,Submit to Capella IRB before recruitment; treat organizational risk as a Gap-data threat.,"Optional artifacts, factual member check, encrypted RAW storage, pause/skip/stop for distress.",Do not put RAW identifiers in courseroom appendices or the public CSV nest.,Collection,Tester checks Procedures* protect contested authority and failed-proof talk.,docs/gqi-semistructured-interview-guide.md | docs/collection-analysis-revision-packet.md,_CHPT III_Assension_db/pages/H-027-ethical-protections.md
CH3-HT-028,CH3-H-028,Chapter Summary,Restate the planned chain without converting it into findings.,"Repeat GQI, CIT, U.S. SME sample, instrument ID, hybrid codebook TA, and the III/IV/V split.",Do not sneak theme titles into the summary.,Problem; Purpose; Questions; Collection; Codes; Themes_ChIV; Conclusions_ChV,Tester checks the summary still plans rather than reports.,docs/chapter-iii-methodology.md#chapter-summary,_CHPT III_Assension_db/pages/H-028-chapter-summary.md
CH3-HT-029,CH3-H-029,References,Keep seminal vs build-on vs software vs new-instrument vs audit-artifact classes intact.,Match docs/notion/templates/references.csv origin and citation_status columns.,Do not use Guest et al. (2006) as the interview method or Delve as a literature source for analysis.,Framework,Tester checks What We Know citations are used only for allowed purposes.,docs/notion/templates/references.csv | docs/symbols-definitions-refs.md,_CHPT III_Assension_db/pages/H-029-references.md
