code_id,parent_id,nested_level,pq,construct,code_name,description,what_it_is_not,example_type,question_ids,status,instrument_version
urgency,FRAMEWORK_DEDUCTIVE,1,PQ1,urgency,urgency,Time-critical demand that reordered attention. Spoken language is time-critical or time pressure. Sensitizing probe only. Do not promote to a theme title. Lock a meaning-unit practice sentence first.,Spoken question using the codebook word urgency unless the participant said it first; a priori theme,payroll window; customer SLA clock; ranking that changed mid-incident,C1 C2,active,ITDR-GQI-INT-v0.1.1
decision_rights,FRAMEWORK_DEDUCTIVE,1,PQ2,decision_rights,decision_rights,Who was supposed to make the call versus who actually made it and whether needed authority was absent. Sensitizing probe only. Do not promote to a theme title.,A priori theme,unofficial decision maker; authority needed but not held,D1 D2,active,ITDR-GQI-INT-v0.1.1
escalation,FRAMEWORK_DEDUCTIVE,1,PQ2,escalation,escalation,What triggered an escalation and whether it sped slowed or changed done. Nothing escalated is a boundary not a failed interview. Sensitizing probe only. Do not promote to a theme title.,Failed interview if no escalation; a priori theme,ticket raised to owner; no escalation occurred,E1 E2,active,ITDR-GQI-INT-v0.1.1
evidentiary_standards,FRAMEWORK_DEDUCTIVE,1,PQ2,evidentiary_standards,evidentiary_standards,What counted as enough proof that the service was recovered and whether proof was renegotiated mid-incident. Sensitizing probe only. Do not promote to a theme title.,NIST ISO BCM scoring; a priori theme,user ping vs integrity check; different proof requested mid-incident,F1 F2,active,ITDR-GQI-INT-v0.1.1
recoverability_assurance,FRAMEWORK_DEDUCTIVE,1,PQ2,recoverability_assurance,recoverability_assurance,What the manager would point to to defend restoration: log test approval ticket or verbal reconstruction. Path C no artifact is a boundary. Sensitizing probe only. Do not promote to a theme title.,NIST ISO BCM audit of the artifact; a priori theme,redacted ticket; verbal reconstruction of unused matrix,F3,active,ITDR-GQI-INT-v0.1.1
BOUNDARY,,0,both,boundary_parent,BOUNDARY,Parent for negative and boundary cases required across the corpus. These limit over-broad claims. They are not failed interviews.,Missing data; failed session,n/a,E1 F3 L1,active,ITDR-GQI-INT-v0.1.1
no_escalation,BOUNDARY,1,PQ2,escalation,no_escalation,Participant states nothing was escalated in the named incident. Record as boundary.,Failed interview,we never left the operations channel,E1 E2,active,ITDR-GQI-INT-v0.1.1
no_reviewable_proof,BOUNDARY,1,PQ2,recoverability_assurance,no_reviewable_proof,Restoration accepted with no reviewable log test approval or ticket or Path C no artifact named.,Missing data that invalidates the interview,we just said it was up,F1 F3,active,ITDR-GQI-INT-v0.1.1
low_power_claim_won,BOUNDARY,1,PQ1,power,low_power_claim_won,A claim from a party who could not force delay or override still moved restore order.,Coding error; ignore,help-desk lead request restored first against owner pressure,A1 A2 L1,active,ITDR-GQI-INT-v0.1.1
pull_unlocated,BOUNDARY,1,PQ1,leverage_location,pull_unlocated,Manager cannot name who moved or could stop the decision. Valid none-observed memo. Not a Mitchell type.,Failed interview; a new salience type,I do not know who actually decided,L1 L2,active,ITDR-GQI-INT-v0.1.1
EMERGENT,,0,both,emergent_parent,EMERGENT,Leave empty until meaning units are locked (Aronson 1994; Taylor and Bogdan 1998; Fereday and Muir-Cochrane 2006; Braun and Clarke 2021). Child codes created only after Practice 2 Step 1. Never copy sensitizing names here.,Pre-named Power Legitimacy Urgency Leverage themes,n/a,,active,ITDR-GQI-INT-v0.1.1
