id,chapter,dissertation_event,needed_item,status,where_it_lives,spine_node,alignment_tester,howto_or_link,notes
CH3-EV-030,III,Methodology chapter,Instrumentation,in_nest,docs/chapter-iii-methodology.md#instrumentation,Instrument questions,Measures/Artifacts,_CHPT III_Assension_db/pages/H-011-instrumentation.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-031,III,Methodology chapter,Primary instrument,in_nest,docs/chapter-iii-methodology.md#primary-instrument,Instrument questions,Measures/Artifacts,_CHPT III_Assension_db/pages/H-012-primary-instrument.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-032,III,Methodology chapter,Researcher-only leverage diagnostic,in_nest,docs/chapter-iii-methodology.md#researcher-only-leverage-diagnostic,Framework,Constructs / Phenomena / Variables,_CHPT III_Assension_db/pages/H-013-researcher-only-leverage-diagnostic.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-033,III,Methodology chapter,Secondary instrument: artifacts as context,in_nest,docs/chapter-iii-methodology.md#secondary-instrument-artifacts-as-context,Data sources,Measures/Artifacts,_CHPT III_Assension_db/pages/H-014-secondary-instrument-artifacts-as-context.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-034,III,Methodology chapter,Data Collection,in_nest,docs/chapter-iii-methodology.md#data-collection,Collection,Data Collection,_CHPT III_Assension_db/pages/H-015-data-collection.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-035,III,Methodology chapter,Data Preparation and Management,in_nest,docs/chapter-iii-methodology.md#data-preparation-and-management,Collection,Procedures,_CHPT III_Assension_db/pages/H-016-data-preparation-and-management.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-036,III,Methodology chapter,Qualitative Data Analysis,in_nest,docs/chapter-iii-methodology.md#qualitative-data-analysis,Codes,Data Analysis,_CHPT III_Assension_db/pages/H-017-qualitative-data-analysis.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-037,III,Methodology chapter,Declaration of method,in_nest,docs/chapter-iii-methodology.md#declaration-of-method,Codes,Data Analysis,_CHPT III_Assension_db/pages/H-018-declaration-of-method.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-038,III,Methodology chapter,Why this method and not the adjacent alternatives,in_nest,docs/chapter-iii-methodology.md#why-this-method-and-not-the-adjacent-alternatives,Codes,Data Analysis,_CHPT III_Assension_db/pages/H-019-why-this-method-and-not-the-adjacent-alternatives.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-039,III,Methodology chapter,Analytic steps (adapted hybrid codebook TA),in_nest,docs/chapter-iii-methodology.md#analytic-steps-adapted-hybrid-codebook-ta,Codes,Data Analysis,_CHPT III_Assension_db/pages/H-020-analytic-steps-adapted-hybrid-codebook-ta.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-040,III,Methodology chapter,Delve nested start-list (import; do not treat as themes),in_nest,docs/chapter-iii-methodology.md#delve-nested-start-list-import-do-not-treat-as-themes,Codes,Data Analysis,_CHPT III_Assension_db/pages/H-021-delve-nested-start-list-import-do-not-treat-as-themes.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-041,III,Methodology chapter,Planned-analysis matrix,in_nest,docs/chapter-iii-methodology.md#planned-analysis-matrix,Instrument questions,Measures/Artifacts,_CHPT III_Assension_db/pages/H-022-planned-analysis-matrix.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-042,III,Methodology chapter,Ten control rules,in_nest,docs/chapter-iii-methodology.md#ten-control-rules,Codes,Data Analysis,_CHPT III_Assension_db/pages/H-023-ten-control-rules.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-043,III,Methodology chapter,Chapter III versus Chapter IV versus Chapter V,in_nest,docs/chapter-iii-methodology.md#chapter-iii-versus-chapter-iv-versus-chapter-v,Themes_ChIV,Data Analysis,_CHPT III_Assension_db/pages/H-024-chapter-iii-versus-chapter-iv-versus-chapter-v.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-044,III,Methodology chapter,Optional: committee-required second coder and ICR,in_nest,docs/chapter-iii-methodology.md#optional-committee-required-second-coder-and-icr,Codes,Dependability,_CHPT III_Assension_db/pages/H-025-optional-committee-required-second-coder-and-icr.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-045,III,Methodology chapter,Trustworthiness,in_nest,docs/chapter-iii-methodology.md#trustworthiness,Collection,Dependability,_CHPT III_Assension_db/pages/H-026-trustworthiness.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-046,III,Methodology chapter,Ethical Protections,in_nest,docs/chapter-iii-methodology.md#ethical-protections,Collection,Procedures,_CHPT III_Assension_db/pages/H-027-ethical-protections.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-047,III,Methodology chapter,Chapter Summary,in_nest,docs/chapter-iii-methodology.md#chapter-summary,Problem,Methodology,_CHPT III_Assension_db/pages/H-028-chapter-summary.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-048,III,Methodology chapter,References,in_nest,docs/chapter-iii-methodology.md#references,Framework,What We Know,_CHPT III_Assension_db/pages/H-029-references.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
